id,geometry
2421929681,POINT (19.3892685 46.5812918)
2427334509,POINT (18.2128565 47.0196821)
2440770846,POINT (20.415931 47.9734002)
2448628451,POINT (18.3192707 47.6558339)
2455542339,POINT (21.2087446 47.1094225)
2460714362,POINT (19.980096 47.868963)
2476459709,POINT (18.2626369 47.6989788)
2508215718,POINT (19.4975147 47.1735801)
2509406017,POINT (18.9182817 47.0541424)
2509911777,POINT (18.3135228 47.6438446)
2580902220,POINT (17.046812 46.6217649)
2624748090,POINT (21.6394722 48.3941906)
2673012386,POINT (19.6780329 47.7386022)
2677840779,POINT (19.6972534 47.119473)
2684865926,POINT (18.4691077 46.2281039)
2687642132,POINT (19.5125169 46.5497941)
2688821054,POINT (18.3316197 47.6484339)
2689429870,POINT (18.3461377 46.4662976)
2702461069,POINT (16.402388 46.6410503)
2704924026,POINT (21.2644102 46.9280306)
2707864850,POINT (18.339818 47.6864304)
2714972793,POINT (21.1864736 47.2405107)
2772110827,POINT (16.7698351 47.1422135)
2781044753,POINT (18.6641252 47.2262747)
2788310482,POINT (21.8661706 47.3852008)
2788684235,POINT (21.9893266 47.447113)
2789188600,POINT (21.8983515 47.5259055)
2793812624,POINT (21.2001756 48.164221)
2797573292,POINT (21.2936132 47.0276974)
2797903777,POINT (16.8028076 47.48426)
2797922620,POINT (16.7657163 47.5605007)
2797922621,POINT (16.7654949 47.5608675)
2799967113,POINT (16.9266879 47.3923927)
2800164204,POINT (16.9831048 47.3677545)
2800192583,POINT (17.1741821 47.1382442)
2804725312,POINT (19.2391992 46.8196902)
2807632871,POINT (16.7779239 47.4557849)
2812258559,POINT (18.5257899 46.4402256)
2817864378,POINT (19.9288218 46.9200587)
2819437240,POINT (18.9954017 46.6448928)
2826884821,POINT (18.4868239 45.845836)
2827624880,POINT (20.6367495 47.9206747)
2830372595,POINT (20.7908783 48.1577425)
2830401401,POINT (20.5982826 48.3286714)
2832057573,POINT (22.1352244 47.8377993)
2832232515,POINT (21.9784394 48.0924033)
2832450860,POINT (22.7308139 47.9850075)
